Atomic Fetch-and-Add: 17566 microseconds
Non-Atomic Write: 4510 microseconds
Single Address: 29747 microseconds
Single Address: 30444 microseconds
Single Address: 31348 microseconds
Single Address: 31772 microseconds
Single Address: 31917 microseconds
Single Address: 48645 microseconds
Single Address: 43610 microseconds
Single Address: 43579 microseconds
Single Address: 54471 microseconds
Single Address: 49362 microseconds
Single Address: 51107 microseconds
Single Address: 47708 microseconds
Single Address: 63490 microseconds
Single Address: 63506 microseconds
Single Address: 51075 microseconds
Single Address: 65749 microseconds
Single Address: 68173 microseconds
Single Address: 68362 microseconds
Single Address: 61103 microseconds
Single Address: 50912 microseconds
Single Address: 62746 microseconds
Single Address: 54330 microseconds
Single Address: 54617 microseconds
Single Address: 54719 microseconds
Single Address: 58217 microseconds
Single Address: 50623 microseconds
Single Address: 47061 microseconds
Single Address: 63079 microseconds
Multiple Addresses: 1210447 microseconds
Multiple Addresses: 1223551 microseconds
Multiple Addresses: 1221897 microseconds
Multiple Addresses: 1307669 microseconds
Multiple Addresses: 1296749 microseconds
Multiple Addresses: 1317839 microseconds
Multiple Addresses: 1318779 microseconds
Multiple Addresses: 1306592 microseconds
Multiple Addresses: 1335386 microseconds
Multiple Addresses: 1366923 microseconds
Multiple Addresses: 1365657 microseconds
Multiple Addresses: 1376748 microseconds
Multiple Addresses: 1388865 microseconds
Multiple Addresses: 1396415 microseconds
Multiple Addresses: 1394384 microseconds
Multiple Addresses: 1418613 microseconds
Multiple Addresses: 1426684 microseconds
Multiple Addresses: 1437281 microseconds
Multiple Addresses: 1434256 microseconds
Multiple Addresses: 1450162 microseconds
Multiple Addresses: 1436450 microseconds
Multiple Addresses: 1462975 microseconds
Multiple Addresses: 1447782 microseconds
Multiple Addresses: 1451358 microseconds
Multiple Addresses: 1476481 microseconds
Multiple Addresses: 1465105 microseconds
Multiple Addresses: 1481815 microseconds
Multiple Addresses: 1458578 microseconds
